Date,Hit
2022-10-04 00:00:00,2
2022-10-06 00:00:00,1
2022-10-10 00:00:00,1
2022-10-14 00:00:00,1
2022-10-18 00:00:00,1
2022-10-24 00:00:00,1
2022-11-02 00:00:00,1
2022-11-11 00:00:00,1
2022-11-21 00:00:00,1
2022-11-29 00:00:00,1
2022-12-04 00:00:00,1
2022-12-19 00:00:00,1
2023-01-05 00:00:00,1
17/08/2022,0
18/08/2022,0
19/08/2022,0
20/08/2022,0
21/08/2022,0
22/08/2022,0
23/08/2022,0
24/08/2022,0
25/08/2022,0
26/08/2022,0
27/08/2022,0
28/08/2022,0
29/08/2022,0
30/08/2022,0
31/08/2022,0
01/09/2022,0
02/09/2022,0
