Date,Type,Planets,Angle
07/01/2022,Geo,Jup_Jup,45
07/01/2022,Geo,Sat_Sat,144
11/01/2022,Geo,Sat_Ura,36
11/01/2022,Helio,Sat_Ura,36
18/01/2022,Geo,Jup_Ura,15
18/01/2022,Ura,D,
19/01/2022,Geo,Sat_Nep,7.5
20/01/2022,Helio,Ven_Jup,30
21/01/2022,Geo,Sat_Plu,45
25/01/2022,Helio,Sat_Plu,45
29/01/2022,Geo,Jup_Nep,15
31/01/2022,Helio,Sat_Nep,7.5
02/02/2022,Geo,Nep_Nep,30
02/02/2022,Helio,Jup_Jup,45
03/02/2022,Geo,Ven_Sat,60
07/02/2022,Geo,Sun_Jup,120
07/02/2022,Helio,Jup_Plu,72
08/02/2022,Geo,Mer_Jup,135
12/02/2022,Geo,Jup_Sat,30
16/02/2022,Nep,Hs,
17/02/2022,Helio,Sat_Ura,120
18/02/2022,Geo,Jup_Plu,72
19/02/2022,Geo,Jup_Ura,7.5
19/02/2022,Helio,Jup_Ura,7.5
22/02/2022,Helio,Jup_Sat,180
27/02/2022,Geo,Sat_Sat,150
01/03/2022,Geo,Jup_Nep,22.5
03/03/2022,Geo,Mar_Sat,90
03/03/2022,Geo,Sat_Ura,30
09/03/2022,Geo,Ven_Jup,90
13/03/2022,Geo,Jup_Jup,60
15/03/2022,Helio,Jup_Nep,22.5
17/03/2022,Geo,Mer_Jup,144
20/03/2022,Geo,Jup_Sat,180
22/03/2022,Geo,Mar_Jup,120
22/03/2022,Geo,Jup_Ura,0
26/03/2022,Geo,Sat_Nep,0
28/03/2022,Helio,Ven_Jup,36
02/04/2022,Geo,Jup_Nep,30
04/04/2022,Jup,Hs,
05/04/2022,Geo,Sun_Nep,135
08/04/2022,Geo,Mer_Nep,150
10/04/2022,Geo,Jup_Sat,36
11/04/2022,Geo,Sun_Jup,135
12/04/2022,Geo,Mer_Jup,150
24/04/2022,Geo,Mer_Sat,120
24/04/2022,Geo,Jup_Ura,7.5
25/04/2022,Geo,Ura_Plu,135
28/04/2022,Geo,Jup_Nep,36
28/04/2022,Helio,Ven_Sat,7.5
30/04/2022,Plu,R,
01/05/2022,Sun,SEcl,
05/05/2022,Geo,Jup_Jup,72
07/05/2022,Geo,Jup_Plu,90
11/05/2022,Jup,Ari,
13/05/2022,Helio,Jup_Ura,0
16/05/2022,Mon,LEcl,
22/05/2022,Geo,Ven_Ura,150
24/05/2022,Helio,Nep_Nep,30
26/05/2022,Geo,Sun_Jup,144
02/06/2022,Geo,Mar_Jup,135
03/06/2022,Geo,Jup_Ura,15
03/06/2022,Helio,Jup_Sat,22.5
05/06/2022,Helio,Jup_Nep,30
05/06/2022,Sat,R,
07/06/2022,Helio,Jup_Plu,0
10/06/2022,Helio,Ear_Jup,45
11/06/2022,Geo,Jup_Ura,120
21/06/2022,Geo,Jup_Nep,45
28/06/2022,Nep,R,
30/06/2022,Helio,Mar_Jup,120
05/07/2022,Helio,Ven_Jup,45
16/07/2022,Helio,Ura_Plu,135
17/07/2022,Helio,Jup_Jup,60
18/07/2022,Geo,Mer_Sat,120
23/07/2022,Helio,Sat_Ura,30
28/07/2022,Geo,Sat_Ura,120
29/07/2022,Jup,R,
31/07/2022,Helio,Ear_Nep,45
02/08/2022,Geo,Jup_Sat,36
03/08/2022,Helio,Jup_Ura,7.5
10/08/2022,Helio,Jup_Nep,36
20/08/2022,Geo,Sat_Nep,0
24/08/2022,Helio,Jup_Plu,90
24/08/2022,Ura,R,
05/09/2022,Geo,Jup_Nep,45
10/09/2022,Helio,Ear_Ura,7.5
16/09/2022,Helio,Ear_Jup,36
21/09/2022,Geo,Sat_Ura,120
24/09/2022,Geo,Mer_Nep,150
24/09/2022,Geo,Jup_Ura,15
24/09/2022,Geo,Mar_Jup,135
28/09/2022,Geo,Sun_Nep,135
29/09/2022,Helio,Sat_Nep,0
30/09/2022,Geo,Sat_Ura,30
01/10/2022,Geo,Mar_Sat,90
04/10/2022,Geo,Sun_Jup,144
09/10/2022,Plu,D,
18/10/2022,Geo,Sat_Sat,150
23/10/2022,Sat,D,
24/10/2022,Helio,Jup_Ura,15
25/10/2022,Sun,SEcl,
28/10/2022,Geo,Sat_Sat,150
08/11/2022,Geo,Jup_Plu,90
08/11/2022,Mon,LEcl,
12/11/2022,Geo,Jup_Ura,120
13/11/2022,Helio,Mer_Jup,150
14/11/2022,Geo,Mar_Sat,90
15/11/2022,Geo,Sat_Ura,30
16/11/2022,Helio,Jup_Nep,45
21/11/2022,Geo,Jup_Jup,72
21/11/2022,Helio,Ear_Jup,30
24/11/2022,Jup,D,
25/11/2022,Helio,Jup_Jup,72
26/11/2022,Geo,Jup_Jup,72
04/12/2022,Nep,D,
09/12/2022,Geo,Ven_Ura,150
09/12/2022,Geo,Jup_Plu,90
11/12/2022,Helio,Mar_Sat,90
11/12/2022,Helio,Mar_Jup,135
15/12/2022,Helio,Ven_Jup,60
20/12/2022,Jup,Ari,
22/12/2022,Geo,Sat_Nep,0
23/12/2022,Helio,Ven_Sat,15
05/01/2023,Geo,Jup_Sat,36
12/01/2023,Geo,Sun_Jup,144
14/01/2023,Geo,Mer_Sat,120
14/01/2023,Helio,Jup_Ura,22.5
15/01/2023,Helio,Ear_Sat,72
16/01/2023,Helio,Jup_Sat,150
18/01/2023,Helio,Mer_Jup,144
20/01/2023,Geo,Mar_Jup,135
20/01/2023,Geo,Jup_Ura,15
23/01/2023,Ura,D,
28/01/2023,Helio,Jup_Sat,30
03/02/2023,Geo,Jup_Nep,45
05/02/2023,Geo,Sun_Nep,135
07/02/2023,Geo,Sat_Ura,22.5
08/02/2023,Geo,Mer_Nep,150
10/02/2023,Helio,Ear_Jup,22.5
11/02/2023,Geo,Nep_Plu,22.5
14/02/2023,Geo,Sun_Jup,150
17/02/2023,Geo,Ven_Sat,72
18/02/2023,Geo,Plu_Plu,30
27/02/2023,Geo,Sat_Nep,7.5
27/02/2023,Geo,Jup_Ura,22.5
01/03/2023,Geo,Sat_Plu,60
06/03/2023,Geo,Mar_Jup,144
07/03/2023,Geo,Ven_Ura,150
18/03/2023,Geo,Ven_Jup,120
18/03/2023,Helio,Sat_Ura,22.5
19/03/2023,Helio,Mar_Jup,144
22/03/2023,Geo,Jup_Jup,90
23/03/2023,Geo,Jup_Sat,45
23/03/2023,Helio,Jup_Sat,144
23/03/2023,Plu,Aqu,
30/03/2023,Geo,Jup_Sat,150
31/03/2023,Geo,Mar_Jup,150
31/03/2023,Geo,Jup_Ura,30
01/04/2023,Geo,Jup_Ura,120
06/04/2023,Helio,Jup_Ura,30
11/04/2023,Geo,Jup_Nep,60
14/04/2023,Geo,Sat_Ura,15
20/04/2023,Geo,Mer_Jup,180
20/04/2023,Sun,SEcl,
24/04/2023,Geo,Jup_Sat,144
24/04/2023,Geo,Ura_Nep,7.5
25/04/2023,Geo,Jup_Ura,36
25/04/2023,Helio,Ven_Jup,72
26/04/2023,Helio,Mer_Jup,135
26/04/2023,Jup,Hs,
29/04/2023,Helio,Jup_Nep,60
02/05/2023,Plu,R,
03/05/2023,Helio,Ear_Jup,15
04/05/2023,Geo,Sat_Ura,120
06/05/2023,Mon,LEcl,
11/05/2023,Geo,Mar_Ura,180
11/05/2023,Geo,Ura_Ura,60
13/05/2023,Geo,Jup_Plu,120
18/05/2023,Geo,Sat_Nep,15
18/05/2023,Helio,Sat_Plu,60
20/05/2023,Geo,Ven_Jup,135
24/05/2023,Helio,Mar_Jup,150
24/05/2023,Helio,Sat_Nep,7.5
01/06/2023,Geo,Jup_Nep,72
02/06/2023,Geo,Jup_Sat,135
02/06/2023,Geo,Nep_Nep,36
03/06/2023,Helio,Mar_Nep,120
04/06/2023,Geo,Jup_Ura,45
10/06/2023,Helio,Jup_Jup,90
10/06/2023,Helio,Jup_Ura,36
11/06/2023,Plu,Cap,
14/06/2023,Helio,Sat_Plu,135
17/06/2023,Ura,Hs,
18/06/2023,Sat,R,
26/06/2023,Geo,Ura_Nep,90
28/06/2023,Geo,Sun_Jup,180
29/06/2023,Helio,Jup_Sat,135
01/07/2023,Nep,R,
04/07/2023,Geo,Ven_Jup,144
17/07/2023,Helio,Jup_Plu,120
18/07/2023,Geo,Sat_Nep,15
19/07/2023,Geo,Plu_Plu,30
24/07/2023,Helio,Ear_Jup,7.5
29/07/2023,Geo,Nep_Plu,22.5
30/07/2023,Geo,Nep_Nep,36
06/08/2023,Geo,Jup_Plu,135
06/08/2023,Helio,Jup_Sat,36
08/08/2023,Helio,Ven_Nep,45
17/08/2023,Helio,Ven_Sat,22.5
25/08/2023,Geo,Sat_Ura,15
29/08/2023,Ura,R,
04/09/2023,Jup,R,
07/09/2023,Helio,Jup_Nep,72
10/09/2023,Geo,Ura_Nep,7.5
17/09/2023,Helio,Jup_Ura,45
25/09/2023,Geo,Jup_Sat,45
03/10/2023,Geo,Jup_Plu,135
07/10/2023,Helio,Mer_Jup,120
11/10/2023,Plu,D,
15/10/2023,Helio,Ear_Jup,0
15/10/2023,Sun,SEcl,
29/10/2023,Mon,LEcl,
04/11/2023,Geo,Ura_Nep,90
04/11/2023,Sat,D,
09/11/2023,Geo,Ven_Jup,144
09/11/2023,Helio,Ven_Jup,90
09/11/2023,Helio,Sat_Ura,15
14/11/2023,Ura,Hs,
16/11/2023,Geo,Sun_Jup,180
25/11/2023,Helio,Ura_Ura,60
06/12/2023,Nep,D,
11/12/2023,Helio,Jup_Sat,120
13/12/2023,Geo,Jup_Sat,45
19/12/2023,Geo,Nep_Plu,22.5
27/12/2023,Geo,Plu_Plu,30
29/12/2023,Helio,Jup_Plu,135
31/12/2023,Jup,D,
05/01/2024,Helio,Ear_Jup,7.5
07/01/2024,Helio,Mer_Sat,180
09/01/2024,Geo,Sat_Ura,15
14/01/2024,Helio,Sat_Nep,15
21/01/2024,Plu,Aqu,
27/01/2024,Helio,Ear_Sat,60
27/01/2024,Ura,D,
01/02/2024,Geo,Sat_Nep,15
09/02/2024,Helio,Jup_Nep,60
13/02/2024,Geo,Sun_Jup,180
13/02/2024,Geo,Ven_Plu,45
20/02/2024,Geo,Sun_Sat,120
20/02/2024,Geo,Ven_Jup,144
21/02/2024,Geo,Mer_Sat,135
22/02/2024,Geo,Mar_Plu,72
24/02/2024,Geo,Ura_Nep,7.5
29/02/2024,Helio,Jup_Ura,60
11/03/2024,Geo,Sat_Plu,72
14/03/2024,Geo,Sat_Ura,7.5
17/03/2024,Geo,Jup_Plu,135
20/03/2024,Geo,Nep_Nep,36
24/03/2024,Geo,Ven_Jup,150
24/03/2024,Helio,Jup_Nep,90
25/03/2024,Mon,LEcl,
28/03/2024,Geo,Jup_Plu,15
28/03/2024,Helio,Ear_Jup,15
29/03/2024,Geo,Jup_Jup,120
04/04/2024,Geo,Sat_Nep,22.5
06/04/2024,Ura,Hs,
07/04/2024,Geo,Jup_Sat,120
07/04/2024,Helio,Ven_Sat,30
