Date,Price,Earth,Mer,Ven,Mar,Jup,Sat,Ura,Nep,Plu
31/10/2008,0,38.27,155.9,310.28,235.37,297.1,163.92,351.19,323.31,270.61
03/01/2009,0,103.08,16.57,52.13,270.03,302.58,166.14,351.87,323.7,270.98
10/04/2013,290,200.61,280.49,28.32,23.56,82.48,217.64,8.63,333.12,279.83
03/07/2013,685,281.56,269.28,164.01,70.78,89.71,220.29,9.53,333.63,280.29
05/10/2013,275,12.25,286.49,314.14,116.55,97.69,223.24,10.54,334.2,280.81
13/11/2013,475,51.1,110.64,16.04,134.09,100.98,224.46,10.96,334.43,281.02
29/11/2013,1175,67.26,188.33,41.6,141.16,102.32,224.96,11.14,334.53,281.11
06/01/2014,995,105.92,301.9,102.8,157.79,105.49,226.14,11.55,334.76,281.32
10/02/2014,100,141.5,116.79,159.64,173.11,108.4,227.23,11.92,334.97,281.51
11/04/2014,413,201.36,326.19,256.06,200.08,113.35,229.1,12.57,335.33,281.83
03/06/2014,685,252.68,221.88,339.95,225.39,117.69,230.74,13.14,335.65,282.12
14/01/2015,166,113.82,31.78,340.43,357.15,135.77,237.69,15.57,337.01,283.33
12/07/2015,316,289.68,49.75,268.12,96.9,149.82,243.17,17.51,338.09,284.29
18/08/2015,162,325.08,225.33,326.65,114.3,152.69,244.3,17.91,338.32,284.48
04/11/2015,504,41.57,192.95,91.33,149.09,158.71,246.68,18.75,338.79,284.9
20/05/2016,433,239.74,259.3,48.36,240.67,173.85,252.69,20.9,339.98,285.95
18/06/2016,790,267.51,356.63,95.06,256.17,176.05,253.57,21.21,340.16,286.1
12/01/2017,735,112.31,174.1,68.12,23.03,191.79,259.86,23.47,341.42,287.19
10/03/2017,1338,169.94,1.81,160.48,55.85,196.09,261.58,24.09,341.76,287.49
25/03/2017,888,184.86,88.61,184.8,63.98,197.22,262.03,24.25,341.85,287.57
11/06/2017,3003,260.59,27.91,309.11,103.14,203.12,264.38,25.1,342.33,287.9
17/07/2017,1826,294.94,210.74,6.2,119.82,205.84,265.46,25.49,342.54,288.16
15/09/2017,2980,352.67,76.36,102.52,146.5,210.38,267.27,26.14,342.91,288.47
17/12/2017,19891,85.57,107.8,252.61,187.41,217.45,270.07,27.16,343.47,288.95
06/01/2018,17252,105.94,201.01,284.29,196.48,218.97,270.67,27.38,343.59,289.05
06/02/2018,6000,137.47,291.18,333.33,210.92,221.33,271.6,27.71,343.78,289.21
05/03/2018,11700,164.69,45.8,16.24,223.99,223.4,272.41,28.01,343.94,289.35
06/04/2018,6500,196.47,207.8,67.49,240.2,225.84,273.38,28.36,344.14,289.52
05/05/2018,9990,224.78,291.27,114.35,255.66,228.07,274.25,28.67,344.31,289.67
24/07/2018,5755,301.39,268.36,243.55,302.36,234.23,276.66,29.55,344.8,290.08
15/10/2018,7788,21.92,254.68,15.13,354.68,240.67,279.15,30.46,345.3,290.5
15/12/2018,3215,83.28,166.57,113.22,31.98,245.44,280.99,31.12,345.67,290.81
08/02/2019,3405,139.26,344.77,202.41,62.93,249.76,282.65,31.73,346.01,291.09
