Date,EP
09/08/2022,251
10/08/2022,109
11/08/2022,180
12/08/2022,631
13/08/2022,151
14/08/2022,197
15/08/2022,204
16/08/2022,133
17/08/2022,146
18/08/2022,449
19/08/2022,86
20/08/2022,174
21/08/2022,79
22/08/2022,119
23/08/2022,144
24/08/2022,217
25/08/2022,100
26/08/2022,119
27/08/2022,516
28/08/2022,121
29/08/2022,125
30/08/2022,156
31/08/2022,106
01/09/2022,148
02/09/2022,142
03/09/2022,481
04/09/2022,157
05/09/2022,174
06/09/2022,148
07/09/2022,178
08/09/2022,95
09/09/2022,102
10/09/2022,178
11/09/2022,154
12/09/2022,124
13/09/2022,195
14/09/2022,221
15/09/2022,133
16/09/2022,217
17/09/2022,210
18/09/2022,606
19/09/2022,167
20/09/2022,184
21/09/2022,133
22/09/2022,169
23/09/2022,212
24/09/2022,221
25/09/2022,170
26/09/2022,215
27/09/2022,206
28/09/2022,632
29/09/2022,149
30/09/2022,247
01/10/2022,258
02/10/2022,259
03/10/2022,229
04/10/2022,188
05/10/2022,165
06/10/2022,151
07/10/2022,566
08/10/2022,184
09/10/2022,178
10/10/2022,89
11/10/2022,138
12/10/2022,154
13/10/2022,157
14/10/2022,98
15/10/2022,190
16/10/2022,74
17/10/2022,462
18/10/2022,127
19/10/2022,133
20/10/2022,62
21/10/2022,77
22/10/2022,83
23/10/2022,146
24/10/2022,111
25/10/2022,78
