Date,Price,Elapsed,Sqrt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2008/10/31,0,,,,,,,,,,,,,,,,,,,,,,,
2009/01/03,0,,,,,,,,,,,,,,,,,,,,,,,
2013/04/10,290,,,,,,,,,,,,,,,,,,,,,,,
2013/07/03,685,,,,,,,,,,,,,,,,,,,,,,,
2013/10/05,275,,,,,,,,,,,,,,,,,,,,,,,
2013/11/13,475,,,,,,,,,,,,,,,,,,,,,,,
2013/11/29,1175,,,,,,,,,,,,,,,,,,,,,,,
2014/01/06,995,,,,,,,,,,,,,,,,,,,,,,,
2014/02/10,100,,,,,,,,,,,,,,,,,,,,,,,
2014/04/11,413,,,,,,,,,,,,,,,,,,,,,,,
2014/06/03,685,,,,,,,,,,,,,,,,,,,,,,,
2015/01/14,166,,,,,,,,,,,,,,,,,,,,,,,
2015/07/12,316,,,,,,,,,,,,,,,,,,,,,,,
2015/08/18,162,,,,,,,,,,,,,,,,,,,,,,,
2015/11/04,504,,,,,,,,,,,,,,,,,,,,,,,
2016/05/20,433,,,,,,,,,,,,,,,,,,,,,,,
2016/06/18,790,,,,,,,,,,,,,,,,,,,,,,,
2017/01/12,735,,,,,,,,,,,,,,,,,,,,,,,
2017/03/10,1338,,,,,,,,,,,,,,,,,,,,,,,
2017/03/25,888,,,,,,,,,,,,,,,,,,,,,,,
2017/06/11,3003,,,,,,,,,,,,,,,,,,,,,,,
2017/07/17,1826,,,,,,,,,,,,,,,,,,,,,,,
2017/09/15,2980,,,,,,,,,,,,,,,,,,,,,,,
2017/12/17,19891,,,,,,,,,,,,,,,,,,,,,,,
2018/01/06,17252,,,,,,,,,,,,,,,,,,,,,,,
2018/02/06,6000,,,,,,,,,,,,,,,,,,,,,,,
2018/03/05,11700,,,,,,,,,,,,,,,,,,,,,,,
2018/04/06,6500,,,,,,,,,,,,,,,,,,,,,,,
2018/05/05,9990,,,,,,,,,,,,,,,,,,,,,,,
2018/07/24,5755,,,,,,,,,,,,,,,,,,,,,,,
2018/10/15,7788,,,,,,,,,,,,,,,,,,,,,,,
2018/12/15,3215,,,,,,,,,,,,,,,,,,,,,,,
2019/02/08,3405,,,,,,,,,,,,,,,,,,,,,,,
2019/03/25,3939,,,,,,,,,,,,,,,,,,,,,,,
2019/06/26,13764,,,,,,,,,,,,,,,,,,,,,,,
2019/07/10,13174,,,,,,,,,,,,,,,,,,,,,,,
2019/08/06,12325,,,,,,,,,,,,,,,,,,,,,,,
2019/10/26,10480,,,,,,,,,,,,,,,,,,,,,,,
2019/12/18,6477,,,,,,,,,,,,,,,,,,,,,,,
2020/02/13,10491,,,,,,,,,,,,,,,,,,,,,,,
2020/03/12,4000,,,,,,,,,,,,,,,,,,,,,,,
2020/06/01,10398,,,,,,,,,,,,,,,,,,,,,,,
2020/08/17,12490,,,,,,,,,,,,,,,,,,,,,,,
2020/09/05,9925,,,,,,,,,,,,,,,,,,,,,,,
2020/12/01,19956,,,,,,,,,,,,,,,,,,,,,,,
2020/12/11,17629,,,,,,,,,,,,,,,,,,,,,,,
2021/01/08,41969,,,,,,,,,,,,,,,,,,,,,,,
2021/01/22,28989,,,,,,,,,,,,,,,,,,,,,,,
2021/04/14,64829,,,,,,,,,,,,,,,,,,,,,,,
2021/04/25,47112,,,,,,,,,,,,,,,,,,,,,,,
2021/05/10,59590,,,,,,,,,,,,,,,,,,,,,,,
2021/05/19,29563,,,,,,,,,,,,,,,,,,,,,,,
2021/06/22,29247,,,,,,,,,,,,,,,,,,,,,,,
2021/07/20,29313,,,,,,,,,,,,,,,,,,,,,,,
2021/09/07,52888,,,,,,,,,,,,,,,,,,,,,,,
2021/09/21,39678,,,,,,,,,,,,,,,,,,,,,,,
2021/11/10,69000,,,,,,,,,,,,,,,,,,,,,,,
2021/12/27,52100,,,,,,,,,,,,,,,,,,,,,,,
2022/01/24,32933,,,,,,,,,,,,,,,,,,,,,,,
2022/02/24,34425,,,,,,,,,,,,,,,,,,,,,,,
2022/03/29,48192,,,,,,,,,,,,,,,,,,,,,,,
2022/06/18,17600,,,,,,,,,,,,,,,,,,,,,,,
