Date,Type,Pair,Angle,Points
07/01/2022,Geo,Jup/Jup,45,15
07/01/2022,Geo,Sat/Sat,144,30
11/01/2022,Geo,Sat/Ura,36,10
11/01/2022,Helio,Sat/Ura,36,10
18/01/2022,Geo,Jup/Ura,15,15
18/01/2022,Ura,D,,25
19/01/2022,Geo,Sat/Nep,7.5,10
20/01/2022,Helio,Ven/Jup,30,10
21/01/2022,Geo,Sat/Plu,45,15
25/01/2022,Helio,Sat/Plu,45,15
29/01/2022,Geo,Jup/Nep,15,15
31/01/2022,Helio,Sat/Nep,7.5,10
02/02/2022,Geo,Nep/Nep,30,15
02/02/2022,Helio,Jup/Jup,45,15
03/02/2022,Geo,Ven/Sat,60,10
07/02/2022,Geo,Sun/Jup,120,25
07/02/2022,Helio,Jup/Plu,72,30
08/02/2022,Geo,Mer/Jup,135,20
12/02/2022,Geo,Jup/Sat,30,15
16/02/2022,Nep,Hs,,25
17/02/2022,Helio,Sat/Ura,120,25
18/02/2022,Geo,Jup/Plu,72,30
19/02/2022,Geo,Jup/Ura,7.5,10
19/02/2022,Helio,Jup/Ura,7.5,10
22/02/2022,Helio,Jup/Sat,180,30
27/02/2022,Geo,Sat/Sat,150,15
01/03/2022,Geo,Jup/Nep,22.5,10
03/03/2022,Geo,Mar/Sat,90,25
03/03/2022,Geo,Sat/Ura,30,10
09/03/2022,Geo,Ven/Jup,90,25
13/03/2022,Geo,Jup/Jup,60,15
15/03/2022,Helio,Jup/Nep,22.5,10
17/03/2022,Geo,Mer/Jup,144,35
20/03/2022,Geo,Jup/Sat,180,30
22/03/2022,Geo,Mar/Jup,120,25
22/03/2022,Geo,Jup/Ura,0,30
26/03/2022,Geo,Sat/Nep,0,30
28/03/2022,Helio,Ven/Jup,36,10
02/04/2022,Geo,Jup/Nep,30,15
04/04/2022,Jup,Hs,,25
05/04/2022,Geo,Sun/Nep,135,10
08/04/2022,Geo,Mer/Nep,150,20
10/04/2022,Geo,Jup/Sat,36,15
11/04/2022,Geo,Sun/Jup,135,10
12/04/2022,Geo,Mer/Jup,150,20
24/04/2022,Geo,Mer/Sat,120,35
24/04/2022,Geo,Jup/Ura,7.5,10
25/04/2022,Geo,Ura/Plu,135,25
28/04/2022,Geo,Jup/Nep,36,15
28/04/2022,Helio,Ven/Sat,7.5,5
30/04/2022,Plu,R,,25
01/05/2022,Sun,SEcl,,25
05/05/2022,Geo,Jup/Jup,72,30
07/05/2022,Geo,Jup/Plu,90,30
11/05/2022,Jup,Ari,,25
13/05/2022,Helio,Jup/Ura,0,30
16/05/2022,Mon,LEcl,,25
22/05/2022,Geo,Ven/Ura,150,10
24/05/2022,Helio,Nep/Nep,30,15
26/05/2022,Geo,Sun/Jup,144,25
02/06/2022,Geo,Mar/Jup,135,10
03/06/2022,Geo,Jup/Ura,15,15
03/06/2022,Helio,Jup/Sat,22.5,10
05/06/2022,Helio,Jup/Nep,30,15
05/06/2022,Sat,R,,25
07/06/2022,Helio,Jup/Plu,0,30
10/06/2022,Helio,Ear/Jup,45,10
11/06/2022,Geo,Jup/Ura,120,30
21/06/2022,Geo,Jup/Nep,45,15
28/06/2022,Nep,R,,25
30/06/2022,Helio,Mar/Jup,120,25
05/07/2022,Helio,Ven/Jup,45,10
16/07/2022,Helio,Ura/Plu,135,25
17/07/2022,Helio,Jup/Jup,60,15
18/07/2022,Geo,Mer/Sat,120,35
23/07/2022,Helio,Sat/Ura,30,10
28/07/2022,Geo,Sat/Ura,120,25
29/07/2022,Jup,R,,25
31/07/2022,Helio,Ear/Nep,45,10
02/08/2022,Geo,Jup/Sat,36,15
03/08/2022,Helio,Jup/Ura,7.5,10
10/08/2022,Helio,Jup/Nep,36,15
20/08/2022,Geo,Sat/Nep,0,30
24/08/2022,Helio,Jup/Plu,90,30
24/08/2022,Ura,R,,25
05/09/2022,Geo,Jup/Nep,45,15
10/09/2022,Helio,Ear/Ura,7.5,5
16/09/2022,Helio,Ear/Jup,36,10
21/09/2022,Geo,Sat/Ura,120,25
24/09/2022,Geo,Mer/Nep,150,20
24/09/2022,Geo,Jup/Ura,15,15
24/09/2022,Geo,Mar/Jup,135,10
28/09/2022,Geo,Sun/Nep,135,10
29/09/2022,Helio,Sat/Nep,0,30
30/09/2022,Geo,Sat/Ura,30,10
01/10/2022,Geo,Mar/Sat,90,25
04/10/2022,Geo,Sun/Jup,144,25
09/10/2022,Plu,D,,25
18/10/2022,Geo,Sat/Sat,150,15
23/10/2022,Sat,D,,25
24/10/2022,Helio,Jup/Ura,15,15
25/10/2022,Sun,SEcl,,25
28/10/2022,Geo,Sat/Sat,150,15
08/11/2022,Geo,Jup/Plu,90,30
08/11/2022,Mon,LEcl,,25
12/11/2022,Geo,Jup/Ura,120,30
13/11/2022,Helio,Mer/Jup,150,20
14/11/2022,Geo,Mar/Sat,90,25
15/11/2022,Geo,Sat/Ura,30,10
16/11/2022,Helio,Jup/Nep,45,15
21/11/2022,Geo,Jup/Jup,72,30
21/11/2022,Helio,Ear/Jup,30,10
24/11/2022,Jup,D,,25
25/11/2022,Helio,Jup/Jup,72,30
26/11/2022,Geo,Jup/Jup,72,30
04/12/2022,Nep,D,,25
09/12/2022,Geo,Ven/Ura,150,10
09/12/2022,Geo,Jup/Plu,90,30
11/12/2022,Helio,Mar/Sat,90,25
11/12/2022,Helio,Mar/Jup,135,10
15/12/2022,Helio,Ven/Jup,60,10
20/12/2022,Jup,Ari,,25
22/12/2022,Geo,Sat/Nep,0,30
23/12/2022,Helio,Ven/Sat,15,10
05/01/2023,Geo,Jup/Sat,36,15
12/01/2023,Geo,Sun/Jup,144,25
14/01/2023,Geo,Mer/Sat,120,35
14/01/2023,Helio,Jup/Ura,22.5,10
15/01/2023,Helio,Ear/Sat,72,25
16/01/2023,Helio,Jup/Sat,150,15
18/01/2023,Helio,Mer/Jup,144,35
20/01/2023,Geo,Mar/Jup,135,10
20/01/2023,Geo,Jup/Ura,15,15
23/01/2023,Ura,D,,25
28/01/2023,Helio,Jup/Sat,30,15
03/02/2023,Geo,Jup/Nep,45,15
05/02/2023,Geo,Sun/Nep,135,10
07/02/2023,Geo,Sat/Ura,22.5,5
08/02/2023,Geo,Mer/Nep,150,20
10/02/2023,Helio,Ear/Jup,22.5,5
