Date,Price,Elapsed,Sqrt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10/04/2013,290,,,,,,,,,,,,,,,,,,,,,,,
03/07/2013,685,,,,,,,,,,,,,,,,,,,,,,,
05/10/2013,275,,,,,,,,,,,,,,,,,,,,,,,
13/11/2013,475,,,,,,,,,,,,,,,,,,,,,,,
29/11/2013,1175,,,,,,,,,,,,,,,,,,,,,,,
06/01/2014,995,,,,,,,,,,,,,,,,,,,,,,,
10/02/2014,100,,,,,,,,,,,,,,,,,,,,,,,
11/04/2014,413,,,,,,,,,,,,,,,,,,,,,,,
03/06/2014,685,,,,,,,,,,,,,,,,,,,,,,,
14/01/2015,166,,,,,,,,,,,,,,,,,,,,,,,
12/07/2015,316,,,,,,,,,,,,,,,,,,,,,,,
18/08/2015,162,,,,,,,,,,,,,,,,,,,,,,,
04/11/2015,504,,,,,,,,,,,,,,,,,,,,,,,
20/05/2016,433,,,,,,,,,,,,,,,,,,,,,,,
18/06/2016,790,,,,,,,,,,,,,,,,,,,,,,,
12/01/2017,735,,,,,,,,,,,,,,,,,,,,,,,
10/03/2017,1338,,,,,,,,,,,,,,,,,,,,,,,
25/03/2017,888,,,,,,,,,,,,,,,,,,,,,,,
11/06/2017,3003,,,,,,,,,,,,,,,,,,,,,,,
17/07/2017,1826,,,,,,,,,,,,,,,,,,,,,,,
15/09/2017,2980,,,,,,,,,,,,,,,,,,,,,,,
17/12/2017,19891,,,,,,,,,,,,,,,,,,,,,,,
06/01/2018,17252,,,,,,,,,,,,,,,,,,,,,,,
06/02/2018,6000,,,,,,,,,,,,,,,,,,,,,,,
05/03/2018,11700,,,,,,,,,,,,,,,,,,,,,,,
06/04/2018,6500,,,,,,,,,,,,,,,,,,,,,,,
05/05/2018,9990,,,,,,,,,,,,,,,,,,,,,,,
24/07/2018,5755,,,,,,,,,,,,,,,,,,,,,,,
15/10/2018,7788,,,,,,,,,,,,,,,,,,,,,,,
15/12/2018,3215,,,,,,,,,,,,,,,,,,,,,,,
08/02/2019,3405,,,,,,,,,,,,,,,,,,,,,,,
25/03/2019,3939,,,,,,,,,,,,,,,,,,,,,,,
26/06/2019,13764,,,,,,,,,,,,,,,,,,,,,,,
10/07/2019,13174,,,,,,,,,,,,,,,,,,,,,,,
06/08/2019,12325,,,,,,,,,,,,,,,,,,,,,,,
26/10/2019,10480,,,,,,,,,,,,,,,,,,,,,,,
18/12/2019,6477,,,,,,,,,,,,,,,,,,,,,,,
13/02/2020,10491,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,4000,,,,,,,,,,,,,,,,,,,,,,,
01/06/2020,10398,,,,,,,,,,,,,,,,,,,,,,,
17/08/2020,12490,,,,,,,,,,,,,,,,,,,,,,,
05/09/2020,9925,,,,,,,,,,,,,,,,,,,,,,,
01/12/2020,19956,,,,,,,,,,,,,,,,,,,,,,,
11/12/2020,17629,,,,,,,,,,,,,,,,,,,,,,,
08/01/2021,41969,,,,,,,,,,,,,,,,,,,,,,,
22/01/2021,28989,,,,,,,,,,,,,,,,,,,,,,,
14/04/2021,64829,,,,,,,,,,,,,,,,,,,,,,,
25/04/2021,47112,,,,,,,,,,,,,,,,,,,,,,,
10/05/2021,59590,,,,,,,,,,,,,,,,,,,,,,,
19/05/2021,29563,,,,,,,,,,,,,,,,,,,,,,,
22/06/2021,29247,,,,,,,,,,,,,,,,,,,,,,,
20/07/2021,29313,,,,,,,,,,,,,,,,,,,,,,,
07/09/2021,52888,,,,,,,,,,,,,,,,,,,,,,,
21/09/2021,39678,,,,,,,,,,,,,,,,,,,,,,,
10/11/2021,69000,,,,,,,,,,,,,,,,,,,,,,,
27/12/2021,52100,,,,,,,,,,,,,,,,,,,,,,,
24/01/2022,32933,,,,,,,,,,,,,,,,,,,,,,,
24/02/2022,34425,,,,,,,,,,,,,,,,,,,,,,,
29/03/2022,48192,,,,,,,,,,,,,,,,,,,,,,,
18/06/2022,17600,,,,,,,,,,,,,,,,,,,,,,,
