Date,EP
sept-11,260
sept-12,127
sept-13,195
sept-14,581
sept-15,145
sept-16,229
sept-17,230
sept-18,221
sept-19,184
sept-20,191
sept-21,110
sept-22,166
sept-23,207
sept-24,238
sept-25,172
sept-26,214
sept-27,208
sept-28,638
sept-29,153
sept-30,255
oct-01,261
oct-02,275
oct-03,224
oct-04,195
oct-05,176
oct-06,144
oct-07,578
oct-08,195
oct-09,206
oct-10,108
oct-11,156
oct-12,189
oct-13,198
oct-14,158
oct-15,226
oct-16,90
oct-17,529
oct-18,154
oct-19,179
oct-20,93
oct-21,103
oct-22,107
oct-23,170
oct-24,137
oct-25,104
oct-26,105
oct-27,180
oct-28,208
oct-29,110
oct-30,465
oct-31,128
nov-01,127
nov-02,108
nov-03,115
nov-04,87
nov-05,82
nov-06,72
nov-07,105
nov-08,139
nov-09,494
nov-10,122
nov-11,119
nov-12,118
nov-13,102
nov-14,95
nov-15,60
nov-16,321
nov-17,92
nov-18,92
nov-19,66
nov-20,79
nov-21,118
nov-22,293
nov-23,55
nov-24,81
nov-25,115
nov-26,106
nov-27,55
nov-28,71
nov-29,296
nov-30,81
dec-01,91
dec-02,88
dec-03,78
dec-04,107
dec-05,99
dec-06,78
dec-07,70
dec-08,325
dec-09,118
dec-10,110
dec-11,117
dec-12,96
dec-13,124
dec-14,130
dec-15,144
dec-16,159
dec-17,148
dec-18,81
dec-19,138
dec-20,191
dec-21,77
dec-22,426
dec-23,130
dec-24,185
dec-25,179
dec-26,98
