,Date,Earth,Mer,Ven,Mar,Jup,Sat,Ura,Nep,Plu
31386,09/09/2022,346.64,305.6,138.93,26.13,2.09,322.7,46.22,353.98,297.6
0,09/09/2022,17.0 | Pi,6.0 | Aq,19.0 | Le,26.0 | Ar,2.0 | Ar,23.0 | Aq,16.0 | Ta,24.0 | Pi,28.0 | Cp
0,31/10/2008,4988.369999999999,20669.70000000001,8108.6500000000015,2670.760000000002,424.99000000000024,158.77999999999986,55.02999999999997,30.669999999999987,26.99000000000001
1,31/10/2008,13.0 | 308.0,57.0 | 150.0,22.0 | 189.0,7.0 | 151.0,1.0 | 65.0,0.0 | 159.0,55.0 | 55.0,0.0 | 31.0,0.0 | 27.0
2,01/03/2009,4923.559999999998,20449.030000000013,8006.800000000003,2636.100000000002,419.5100000000002,156.55999999999995,54.349999999999966,30.28,26.620000000000005
3,01/03/2009,13.0 | 244.0,56.0 | 289.0,22.0 | 87.0,7.0 | 116.0,1.0 | 60.0,0.0 | 157.0,54.0 | 54.0,0.0 | 30.0,0.0 | 27.0
4,22/05/2010,4425.5,18380.420000000013,7198.510000000002,2366.8900000000012,374.84000000000015,139.3599999999999,48.93000000000001,27.22999999999999,23.690000000000026
5,22/05/2010,12.0 | 106.0,51.0 | 20.0,19.0 | 359.0,6.0 | 207.0,1.0 | 15.0,0.0 | 139.0,49.0 | 49.0,0.0 | 27.0,0.0 | 24.0
6,29/11/2013,3159.380000000001,13077.270000000004,5137.330000000002,1684.9700000000012,259.77000000000044,97.7399999999999,35.079999999999984,19.44999999999999,16.49000000000001
7,29/11/2013,8.0 | 279.0,36.0 | 117.0,14.0 | 97.0,4.0 | 245.0,0.0 | 260.0,0.0 | 98.0,35.0 | 35.0,0.0 | 19.0,0.0 | 16.0
8,17/12/2017,1701.0699999999997,7037.800000000003,2766.3199999999997,918.7200000000012,144.64000000000033,52.62999999999988,19.060000000000002,10.509999999999991,8.650000000000006
9,17/12/2017,4.0 | 261.0,19.0 | 198.0,7.0 | 246.0,2.0 | 199.0,0.0 | 145.0,0.0 | 53.0,19.0 | 19.0,0.0 | 11.0,0.0 | 9.0
10,15/12/2018,1343.3600000000006,5539.030000000013,2185.709999999999,714.1500000000015,116.65000000000009,41.70999999999992,15.099999999999966,8.310000000000002,6.7900000000000205
11,15/12/2018,3.0 | 263.0,15.0 | 139.0,6.0 | 26.0,1.0 | 354.0,0.0 | 117.0,0.0 | 42.0,15.0 | 15.0,0.0 | 8.0,0.0 | 7.0
12,26/06/2019,3.0 | 72.0,13.0 | 79.0,5.0 | 77.0,1.0 | 256.0,0.0 | 101.0,0.0 | 36.0,13.0 | 13.0,0.0 | 7.0,0.0 | 6.0
13,26/06/2019,1152.1800000000003,4758.760000000009,1876.8899999999994,616.3700000000008,101.36000000000013,35.88999999999987,12.979999999999961,7.139999999999986,5.810000000000002
14,03/12/2020,894.4300000000003,3690.5800000000017,1459.8500000000058,495.8600000000024,80.15000000000009,28.029999999999973,10.120000000000005,5.560000000000002,4.490000000000009
15,03/12/2020,2.0 | 174.0,10.0 | 91.0,4.0 | 20.0,1.0 | 136.0,0.0 | 80.0,0.0 | 28.0,10.0 | 10.0,0.0 | 6.0,0.0 | 4.0
16,25/04/2021,1.0 | 131.0,5.0 | 239.0,2.0 | 85.0,0.0 | 264.0,0.0 | 45.0,0.0 | 16.0,6.0 | 6.0,0.0 | 3.0,0.0 | 2.0
17,25/04/2021,491.2999999999993,2038.8800000000047,805.0699999999997,264.4300000000021,45.190000000000055,15.559999999999945,5.589999999999975,3.069999999999993,2.460000000000008
18,20/07/2021,1.0 | 49.0,4.0 | 251.0,1.0 | 306.0,0.0 | 226.0,0.0 | 38.0,0.0 | 13.0,5.0 | 5.0,0.0 | 3.0,0.0 | 2.0
19,20/07/2021,408.7999999999993,1691.090000000011,665.8400000000038,226.45000000000073,37.590000000000146,12.919999999999845,4.639999999999986,2.539999999999992,2.030000000000001
20,11/10/2021,298.5,1197.1100000000006,486.15000000000146,175.6100000000024,27.51000000000022,9.429999999999836,3.3799999999999955,1.8499999999999943,1.4800000000000182
21,11/10/2021,0.0 | 298.0,3.0 | 117.0,1.0 | 126.0,0.0 | 176.0,0.0 | 28.0,0.0 | 9.0,3.0 | 3.0,0.0 | 2.0,0.0 | 1.0
22,20/10/2021,319.48999999999796,1305.8800000000047,519.5200000000041,185.44000000000233,29.390000000000327,10.079999999999927,3.6200000000000045,1.9799999999999898,1.5800000000000125
23,20/10/2021,0.0 | 319.0,3.0 | 226.0,1.0 | 160.0,0.0 | 185.0,0.0 | 29.0,0.0 | 10.0,4.0 | 4.0,0.0 | 2.0,0.0 | 2.0
24,18/06/2022,79.54999999999927,342.83000000000175,133.63000000000466,51.650000000001455,7.580000000000382,2.599999999999909,0.9300000000000068,0.5099999999999909,0.4000000000000057
25,18/06/2022,0.0 | 80.0,0.0 | 343.0,0.0 | 134.0,0.0 | 52.0,0.0 | 8.0,0.0 | 3.0,1.0 | 1.0,0.0 | 1.0,0.0 | 0.0
